userId,itemId,rating
97238,802,2.0
97238,1073,3.0
97238,494,3.0
97238,786,4.5
97238,104,5.0
97238,805,4.0
97238,260,1.0
97238,6,3.2
97238,780,4.1
97238,95,3.5
39618,480,5.0
39618,4886,1.5
39618,5618,0.0
39618,344,3.0
39618,2028,2.5
39618,8961,4.0
39618,364,3.0
39618,2,2.7
39618,588,3.8
39618,8665,2.1
170408,1917,4.9
170408,596,5.0
170408,1246,2.1
170408,186,0.5
170408,1968,1.5
170408,1247,2.3
170408,593,3.3
170408,594,1.9
170408,953,4.7
170408,168,1.2
44078,185,2.6
44078,160,3.1
44078,588,5.0
44078,316,4.0
44078,296,2.0
44078,2,3.9
44078,339,2.9
44078,225,4.3
44078,186,3.0
44078,317,4.0
160198,2054,0.5
160198,1246,0.1
160198,1732,0.0
160198,553,0.1
160198,3160,3.5
160198,4973,2.0
160198,497,4.0
160198,2011,3.5
160198,1407,4.5
160198,2302,5.0
251028,594,2.0
251028,3578,3.5
251028,19,2.5
251028,1213,4.0
251028,924,3.0
251028,508,2.5
251028,1968,1.5
251028,6934,0.5
251028,1584,2.3
251028,442,1.8
53968,858,4.7
53968,364,2.7
53968,2762,1.5
53968,153,3.6
53968,260,5.0
53968,648,4.5
53968,480,2.5
53968,595,1.4
53968,231,4.0
53968,588,2.0
255488,586,2.0
255488,592,1.0
255488,317,3.5
255488,110,4.7
255488,364,3.2
255488,500,3.8
255488,527,4.5
255488,595,1.9
255488,318,4.7
255488,440,5.0
107848,1387,5.0
107848,2701,2.0
107848,1580,3.1
107848,1247,4.1
107848,2355,2.0
107848,3176,3.2
107848,1380,4.1
107848,3101,4.7
107848,480,3.0
107848,3160,2.8
145828,165,3.5
145828,318,2.0
145828,593,1.0
145828,292,3.1
145828,590,4.0
145828,316,1.9
145828,296,2.0
145828,150,3.3
145828,344,4.6
145828,231,3.5
