userId,itemId,rating
97238,802,4.0
97238,1073,4.0
97238,494,3.0
97238,786,3.0
97238,104,4.0
97238,805,5.0
97238,260,5.0
97238,6,5.0
97238,780,3.0
97238,95,3.0
39618,480,3.5
39618,4886,4.5
39618,5618,5.0
39618,344,4.0
39618,2028,4.5
39618,8961,4.0
39618,364,4.0
39618,2,2.0
39618,588,4.0
39618,8665,4.0
170408,1917,2.5
170408,596,5.0
170408,1246,4.0
170408,186,3.0
170408,1968,3.5
170408,1247,4.5
170408,593,4.5
170408,594,4.0
170408,953,5.0
170408,168,3.5
44078,185,5.0
44078,160,3.0
44078,588,5.0
44078,316,4.0
44078,296,3.0
44078,2,5.0
44078,339,4.0
44078,225,5.0
44078,186,4.0
44078,317,4.0
160198,2054,0.5
160198,1246,3.0
160198,1732,0.5
160198,553,0.5
160198,3160,4.5
160198,4973,5.0
160198,497,3.0
160198,2011,0.5
160198,1407,0.5
160198,2302,2.0
251028,594,3.0
251028,3578,2.5
251028,19,3.5
251028,1213,4.0
251028,924,3.0
251028,508,2.5
251028,1968,2.5
251028,6934,4.5
251028,1584,2.0
251028,442,1.5
53968,858,5.0
53968,364,5.0
53968,2762,3.5
53968,153,3.0
53968,260,5.0
53968,648,3.5
53968,480,3.5
53968,595,5.0
53968,231,3.0
53968,588,5.0
255488,586,4.0
255488,592,3.0
255488,317,4.0
255488,110,4.0
255488,364,3.0
255488,500,3.0
255488,527,3.0
255488,595,5.0
255488,318,4.0
255488,440,5.0
107848,1387,2.0
107848,2701,1.0
107848,1580,1.0
107848,1247,5.0
107848,2355,5.0
107848,3176,3.0
107848,1380,4.0
107848,3101,4.0
107848,480,2.0
107848,3160,2.0
145828,165,3.0
145828,318,4.0
145828,593,5.0
145828,292,3.0
145828,590,3.0
145828,316,3.0
145828,296,4.0
145828,150,4.0
145828,344,3.0
145828,231,3.0
